Statute,On e-Laws,Minister(s) Responsible,Ministerial Responsibility (OIC and Gazette Date),Legislative History,Part left unconsolidated and unrepealed by R.S.O. 1990,Repealed on d/m/y,Repealed by
"Public Lands Amendment Act, 1953, S.O. 1953, c. 88","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Public Lands Amendment Act, 1956, The, S.O. 1956, c. 72","No",,,,"s. 9, 10","",""
"Public Lands Amendment Act, 1957, S.O. 1957, c. 99","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Public Lands Amendment Act, 1958, S.O. 1958, c. 86","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Public Lands Amendment Act, 1960, The, S.O. 1960, c. 94","No",,,,"s. 5","",""
"Public Lands Amendment Act, 1960-61, S.O. 1960-61, c. 81","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Public Lands Amendment Act, 1966, S.O. 1966, c. 127","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Public Lands Amendment Act, 1968, S.O. 1968, c. 108","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Public Lands Amendment Act, 1970, S.O. 1970, c. 59","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Public Lands Amendment Act, 1972, S.O. 1972, c. 29","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Public Lands Amendment Act, 1975, S.O. 1975, c. 65","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Public Libraries Act, R.S.O. 1990, c. P.44","Yes","Minister of Tourism, Culture and Sport","1160/2018 (10/11/2018)","1993, c. 27, Sch.
1996, c. 32, s. 83
1997, c. 26, Sch.
1999, c. 6, s. 56
2002, c. 17, Sch. C, s. 24
2002, c. 18, Sch. F, s. 3
2005, c. 5, s. 60
2006, c. 32, Sch. C, s. 53
2009, c. 33, Sch. 11, s. 7","","",""
"Public Libraries Amendment Act, 1952, S.O. 1952, c. 87","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Public Meetings and Processions Act, 1939, S.O. 1939, c. 9","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Public Officers Act, R.S.O. 1990, c. P.45","Yes","Attorney General","1143/2018 (10/11/2018)","2002, c. 17, Sch. F, Table
2002, c. 24, Sch. B, s. 25
2006, c. 19, Sch. C, s. 1 (1)","","",""
"Public Parks Act, R.S.O. 1990, c. P.46","Yes",,,,"","01/01/2003","2001, c. 25, s. 484"
"Public Schools Amendment Act, 1950, S.O. 1950, c. 65","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Public Sector Compensation Restraint to Protect Public Services Act, 2010, S.O. 2010, c. 1, Sched. 24","Yes","President of the Treasury Board","1163/2018 (10/11/2018)","2010, c. 26, Sch. 16
2014, c. 5, s. 52
2018, c. 17, Sch. 45, s. 12
2018, c. 3, Sch. 5, s. 51 (see 2019, c. 1, Sch. 3, s. 5)
2019, c. 1, Sch. 4, s. 49
2019, c. 7, Sch. 17, s. 148
2019, c. 7, Sch. 17, s. 148
2019, c. 7, Sch. 5, s. 9
2019, c. 7, Sch. 5, s. 9","","",""
"Public Sector Dispute Resolution Act, 1997, S.O. 1997, c. 21, Sched. A","Yes","Minister of Labour","1156/2018 (10/11/2018)","2006, c. 35, Sch. C, s. 114
2017, c. 22, Sch. 2, s. 17
2018, c. 14, Sch. 2, s. 22
2018, c. 3, Sch. 5, s. 52 (see 2019, c. 1, Sch. 3, s. 5)
2019, c. 1, Sch. 4, s. 50","","",""
"Public Sector Expenses Review Act, 2009, S.O. 2009, c. 20 ","Yes","President of the Treasury Board","1163/2018 (10/11/2018)","2014, c. 13, Sch. 11
2015, c. 20, Sch. 37
2016, c. 37, Sch. 18, s. 9","","",""
"Public Sector Labour Relations Transition Act, 1997, S.O. 1997, c. 21, Sched. B","Yes","Minister of Labour","1156/2018 (10/11/2018)","1997, c. 31, s. 168
1999, c. 14, Sch. F, s. 8
2002, c. 17, Sch. F, Table
2006, c. 21, Sch. F, s. 136 (1)
2006, c. 32, Sch. C, s. 54
2006, c. 35, Sch. D, s. 4-18
2006, c. 4, s. 42
2014, c. 5, s. 53
2015, c. 34, Sch. 2
2016, c. 30, s. 47
2017, c. 14, Sch. 4, s. 32
2017, c. 22, Sch. 2, s. 18
2017, c. 25, Sch. 9, s. 112
2018, c. 14, Sch. 2, s. 23
2018, c. 3, Sch. 5, s. 53 (see 2019, c. 1, Sch. 3, s. 5)
2019, c. 1, Sch. 4, s. 51
2019, c. 5, Sch. 3, s. 20
2019, c. 7, Sch. 53, s. 1-6
2019, c. 7, Sch. 53, s. 1-6
2019, c. 7, Sch. 53, s. 9 (4), (5)
2019, c. 7, Sch. 53, s. 9 (4), (5)","","",""
"Public Sector Salary Disclosure Act, 1996, S.O. 1996, c. 1, Sched. A","Yes","President of the Treasury Board","1163/2018 (10/11/2018)","1997, c. 31, s. 169
1998, c. 18, Sch. G, s. 71
2002, c. 17, Sch. F, Table
2004, c. 1
2006, c. 19, Sch. L, s. 11 (2)
2009, c. 33, Sch. 18, s. 27
2012, c. 8, Sch. 50
2015, c. 20, Sch. 38
2016, c. 37, Sch. 18, s. 10
2017, c. 25, Sch. 9, d. 113
2017, c. 3, s. 27
2018, c. 17, Sch. 45, s. 13","","",""
"Public Service Act, R.S.O. 1990, c. P.47","Yes",,,"1993, c. 19, s. 1
1993, c. 38, s. 63
1994, c. 17, s. 144
1995, c. 1, s. 85
1996, c. 1, Sch. Q, s. 4
1997, c. 21, Sch. A, s. 6
1999, c. 12, Sch. K, s. 2
2000, c. 26, Sch. J, s. 4
2001, c. 7, s. 1-15
2002, c. 18, Sch. K, s. 22
2005, c. 29, s. 6
2006, c. 19, Sch. C, s. 1 (1)
2006, c. 21, Sch. F, s. 127, 136 (1)
2006, c. 19, Sch. D, s. 19
2006, c. 19, Sch. N, s. 4","","20/08/2007","2006, c. 35, Sch. C, s. 1"
"Public Service of Ontario Act, 2006, S.O. 2006, c. 35, Sched. A","Yes","Minister of Labour, in respect of sections 21 to 27 and clause 31 (1) (b)
President of the Treasury Board, except in respect of sections 21 to 27 and clause 31 (1) (b)","Minister of Labour: 1156/2018 (10/11/2018)
President of the Treasury Board: 1163/2018 (10/11/2018)","2006, c. 35, Sch. A, s. 156, 157
2009, c. 33, Sch. 17, s. 10
2017, c. 34, Sch. 46, s. 49
2018, c. 17, Sch. 35, s. 1-15
2018, c. 17, Sch. 45, s. 14
2018, c. 3, Sch. 5, s. 54 (see 2019, c. 1, Sch. 3, s. 5)
2019, c. 1, Sch. 4, s. 52
2019, c. 7, Sch. 17, s. 149
2019, c. 7, Sch. 17, s. 149
CTS 13 AL 10 - 1
CTS 13 AL 10 - 2
CTS 13 AL 10 - 3","","",""
"Public Service Pension Act, 1989, S.O. 1989, c. 73","No",,,,"Sch. 1, 2","",""
"Public Service Pension Act, R.S.O. 1990, c. P.48","Yes","President of the Treasury Board","1163/2018 (10/11/2018)","1994, c. 17, s. 145
1996, c. 1, Sch. L, s. 1
1996, c. 6, s. 6
1999, c. 6, s. 57
2005, c. 5, s. 61
2006, c. 21, Sch. F, s. 136 (1)
2006, c. 9, Sch. L
2009, c. 33, Sch. 17, s. 11
2018, c. 8, Sch. 28","","",""
"Public Service Superannuation Act, R.S.O 1980, c. 419","No",,,,"","",""
"Public Service Superannuation Amendment Act, 1966, S.O. 1966, c. 131","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Public Service Superannuation Amendment Act, 1974, S.O. 1974, c. 37","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Public Service Works on Highways Act, R.S.O. 1990, c. P.49","Yes","Minister of Transportation","1162/2018 (10/11/2018)","1998, c. 15, Sch. E, s. 30
2006, c. 19, Sch. C, s. 1 (1)","","",""
"Public Transportation and Highway Improvement Act, R.S.O. 1990, c. P.50","Yes","Minister of Finance, in respect of receiving applications and verifying eligibility for the Electric and Hydrogen Vehicle Incentive Program and Electric Vehicle Charging Incentive Program grants under subsection 118 (2)
Minister of Transportation, except in respect of receiving applications and verifying eligibility for Electric and Hydrogen Vehicle Incentive Program grants and Electric Vehicle Charging Incentive Program grants under subsection 118 (2)","Minister of Finance: 1150/2018 (10/11/2018)
Minister of Transportation: 1162/2018 (10/11/2018)","1993, c. 27, Sch.
1994, c. 17, s. 63
1994, c. 27, s. 139
1996, c. 1, Sch. M, s. 49-69
1998, c. 15, Sch. E, s. 31
2002, c. 17, Sch. F, Table
2002, c. 24, Sch. B, s. 25, 45
2005, c. 26, Sch. B, s. 2, 3
2006, c. 19, Sch. C, s. 1 (1)
2006, c. 19, Sch. T, s. 10-12
2006, c. 21, Sch. F, s. 128, 136 (1)
2008, c. 22
2017, c. 10, Sch. 4, s. 13
2017, c. 23, Sch. 5, s. 104-108
2019, c. 7, Sch. 17, s. 150
2019, c. 7, Sch. 17, s. 150
2019, c. 7, Sch. 54
2019, c. 7, Sch. 54
2019, c. 8, Sch. 5
2019, c. 8, Sch. 5","","",""
"Public Transportation and Highway Improvement Amendment Act, 1980, S.O. 1980, c. 8","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Public Trustee Act, R.S.O 1990, c. P.51","No",,,,"","",""
"Public Utilities Act, R.S.O. 1990, c. P.52","Yes","Minister of Municipal Affairs and Housing","1157/2018 (10/11/2018)","1991, c. 15, s. 43
1996, c. 1, Sch. M, s. 33
1996, c. 32, s. 84
1998, c. 15, Sch. E, s. 32
1999, c. 14, Sch. F, s. 9
2001, c. 25, s. 482
2002, c. 1, Sch. C, s. 5
2006, c. 32, Sch. D, s. 14","","",""
"Public Utilities Amendment Act, 1982, S.O. 1982, c. 45","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Public Utilities Corporations Act, R.S.O. 1990, c. P.53","Yes",,,,"","01/01/2003","2002, c. 17, s. 7"
"Public Vehicles Act, R.S.O. 1990, c. P.54","Yes","Minister of Transportation","1162/2018 (10/11/2018)","1996, c. 9, s. 14-25
2002, c. 17, Sch. F, Table
2007, c. 4, s. 39
2009, c. 4, s. 3
2016, c. 5, Sch. 25
2018, c. 3, Sch. 5, s. 55 (see 2019, c. 1, Sch. 3, s. 5)
2019, c. 1, Sch. 4, s. 53","","",""
"Public Works Creditors Payment Repeal Act, 1975, The, S.O. 1975, c. 45","No",,,,"s. 2 (2)","",""
"Public Works Protection Act, R.S.O. 1990, c. P.55","Yes",,,"2014, c. 15, Sch. 1","","24/06/2015","2014, c. 15, Sched. 1, s. 1"
"Putting Students First Act, 2012, S.O. 2012, c. 11","Yes",,,,"","23/01/2013","2012, c. 11, s. 20"
"Quality of Care Information Protection Act, 2004, S.O. 2004, c. 3, Sched. B","Yes",,,"2006, c. 19, Sch. L, s. 9
2009, c. 33, Sch. 18, s. 28
2010, c. 25, s. 28
2016, c. 6, Sch. 2, s. 17","","01/07/2017","2016, c. 6, Sched. 2, s. 17 (1)"
"Quality of Care Information Protection Act, 2016, S.O. 2016, c. 6, Sched. 2","Yes","Minister of Health","1110/2019 (31/08/2019)","2017, c. 25, Sch. 9, s. 114","","",""
"Queen Victoria Niagara Falls Park Act, R.S.O. 1914, c. 50","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Race Tracks Tax Act, 1988, S.O. 1988, c. 2","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Race Tracks Tax Act, R.S.O. 1990, c. R.1","Yes","Minister of Finance","1150/2018 (10/11/2018)","1994, c. 18, s. 7
1996, c. 18, s. 15, 16
1997, c. 19, s. 20
1997, c. 43, Sch. F, s. 12
2001, c. 23, s. 186
2011, c. 9, Sch. 36","","",""
"Racing Commission Act, 2000, S.O. 2000, c. 20","Yes",,,"2004, c. 17, s. 32
2006, c. 34, s. 41
2015, c. 38, Sch. 9, s. 47","","01/04/2016","2015, c. 38, Sch. 9, s. 47"
"Racing Commission Act, R.S.O. 1990, c. R.2","Yes",,,"1993, c. 27, Sch.
1994, c. 27, s. 97","","15/12/2000","2000, c. 20, s. 32"
"Radiological Technicians Act, R.S.O. 1990, c. R.3","No",,,,"","31/12/1993","1991, c. 18, s. 45"
"Railway Accidents Act, 1881, S.O. 1881, c. 22","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Railway Act, R.S.O. 1937, c. 259","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Railways Act (The), R.S.O. 1950, c. 331","No","Minister of Transportation","1162/2018 (10/11/2018)","1968, c. 113
1979, c. 44
1986, c. 64, s. 61
2002, c. 24, Sch. B, s. 25
2006, c. 21, Sch. F, s. 98","Total, exc. 16 (5)","",""
"Railways Amendment Act, 1968, S.O. 1968, c. 113","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98"
"Railways Amendment Act, 1979, S.O. 1979, c. 44","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98"
"Rainbow Bridge Act, 1941 (The), S.O. 1941, c. 48","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98"
"Rainbow Bridge Amendment Act, 1959, S.O. 1959, c. 87","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98"
"Real Estate and Business Brokers Act, 2002, S.O. 2002, c. 30, Sched. C ","Yes","Minister of Government and Consumer Services","1152/2018 (10/11/2018)","2004, c. 19, s. 18
2004, c. 8, s. 46, Table
2006, c. 17, s. 255
2006, c. 19, Sch. G, s. 9
2006, c. 21, Sch. F, s. 129
2006, c. 34, s. 21
2007, c. 4, s. 40, 41
2007, c. 7, Sch. 7, s. 190
2009, c. 33, Sch. 10, s. 13
2011, c. 1, Sch. 2, s. 7
2012, c. 8, Sch. 11, s. 51
2013, c. 13, Sch. 3
2017, c. 20, Sch. 8, s. 124
See: Table of Public Statute Provisions Repealed Under Section 10.1 of the Legislation Act, 2006","","",""
"Real Estate and Business Brokers Act, R.S.O. 1990, c. R.4","Yes",,,"1993, c. 27, Sch.
1994, c. 27, s. 98
1996, c. 19, s. 24
1997, c. 19, s. 41
1998, c. 18, Sch. E, s. 203-206
1999, c. 12, Sch. G, s. 33
2001, c. 9, Sch. D, s. 13, 14
2002, c. 8, Sch. I, s. 22
2004, c. 8, s. 46, Table","","31/03/2006","2002, c. 30, Sch. E, s. 16"
"Real Estate and Business Brokers Amendment Act, 1968-69, S.O. 1968-69, c. 105","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Real Property Limitations Act, R.S.O. 1990, c. L.15 (formerly Limitations Act)","Yes","Attorney General","1143/2018 (10/11/2018)","2002, c. 24, Sch. B, s. 26
2006, c. 19, Sch. B, s. 20
2009, c. 33, Sch. 2, s. 63","","",""
"Reciprocal Enforcement of Judgments (U.K.) Act, R.S.O. 1990, c. R.6","Yes","Attorney General","1143/2018 (10/11/2018)",,"","",""
"Reciprocal Enforcement of Judgments Act, R.S.O. 1990, c. R.5","Yes","Attorney General","1143/2018 (10/11/2018)","2006, c. 19, Sch. C, s. 1 (1)","","",""
"Reciprocal Enforcement of Support Orders Act, R.S.O. 1990, c. R.7","Yes",,,"1993, c. 27, Sch.
1997, c. 25, Sch. E, s. 10
2002, c. 17, Sch. C, s. 25","","31/03/2003","2002, c. 13, s. 55"
"Red Lake Mining Division Act, 1926, S.O. 1926, c. 12","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Reducing Regulatory Costs for Business Act, 2017, S.O. 2017, c. 20, Sched. 4","Yes","Minister of Economic Development, Job Creation and Trade","2/2019 (02/02/2019)",,"","",""
"Regional Municipalities Act, R.S.O. 1990, c. R.8","Yes",,,"1991, c. 15, s. 26-33
1991, c. 3, s. 2
1992, c. 15, s. 72-84
1992, c. 23, s. 41
1993, c. 11, s. 57-61
1993, c. 20, s. 5
1993, c. 27, Sch.
1994, c. 1, s. 10-21
1994, c. 11, s. 392
1994, c. 17, s. 50
1994, c. 23, s. 86-90
1994, c. 27, s. 143
1994, c. 37, s. 8
1996, c. 1, Sch. M, s. 34, 35
1996, c. 32, s. 85
1996, c. 33, s. 33-35
1997, c. 11, s. 4
1997, c. 14, s. 1
1997, c. 16, s. 15
1997, c. 24, s. 227
1997, c. 5, s. 69
1997, c. 6, s. 4
1997, c. 8, s. 45
1998, c. 18, Sch. B, s. 14
1999, c. 12, Sch. M, s. 31
2000, c. 5, s. 21
2001, c. 9, Sch. J, s. 3","","01/01/2003","2001, c. 25, s. 484"
"Regional Municipalities Amendment Act (No. 2), 1976, S.O. 1976, c. 70","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Regional Municipalities Amendment Act, 1976, S.O. 1976, c. 43","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Regional Municipalities Amendment Act, 1982 (No. 2), S.O. 1982, c. 49","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Regional Municipalities Amendment Act, 1983, S.O. 1983, c. 72","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Regional Municipalities Amendment Act, 1986, S.O. 1986, c. 46","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Regional Municipalities Amendment Act, 1987, S.O. 1987, c. 22","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Regional Municipality of Durham Act, 1973, S.O. 1973, c. 78","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Regional Municipality of Durham Act, R.S.O. 1980, c. 434","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Regional Municipality of Durham Act, R.S.O. 1990, c. R.9","Yes",,,"1992, c. 15, s. 71, 94
1993, c. 20, s. 9, 22
1993, c. 3
1994, c. 23, s. 91
1996, c. 32, s. 86
1997, c. 26, Sch.
1997, c. 31, s. 170
1997, c. 5, s. 70
1998, c. 15, Sch. E, s. 33
2001, c. 13, s. 24","","01/01/2003","2001, c. 25, s. 484"
"Regional Municipality of Durham Amendment Act, 1973, S.O. 1973, c. 147","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Regional Municipality of Haldimand-Norfolk Act, 1973, S.O. 1973, c. 96","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Regional Municipality of Haldimand-Norfolk Act, 1987, S.O. 1987, c. 16","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Regional Municipality of Haldimand-Norfolk Act, R.S.O. 1980, c. 435","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Regional Municipality of Haldimand-Norfolk Act, R.S.O. 1990, c. R.10","Yes",,,"1992, c. 15, s. 94
1993, c. 20, s. 10, 22
1996, c. 1, Sch. M, s. 36
1996, c. 32, s. 87
1997, c. 31, s. 171
1998, c. 15, Sch. E, s. 34","","01/01/2001","1999, c. 14, s. 2 (2)"
"Regional Municipality of Haldimand-Norfolk Amendment Act, 1973, S.O. 1973, c. 155","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Regional Municipality of Haldimand-Norfolk Amendment Act, 1984, S.O. 1984, c. 46","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Regional Municipality of Halton Act, 1973, S.O. 1973, c. 70","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Regional Municipality of Halton Act, R.S.O. 1980, c. 436","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Regional Municipality of Halton Act, R.S.O. 1990, c. R.11","Yes",,,"1992, c. 15, s. 94
1993, c. 20, s. 11, 22
1993, c. 27, Sch.
1996, c. 32, s. 88
1997, c. 31, s. 172
1997, c. 5, s. 71
1998, c. 15, Sch. E, s. 35
1999, c. 14, Sch. F, s. 10
2000, c. 5, s. 22
2001, c. 13, s. 25","","01/01/2003","2001, c. 25, s. 484"
"Regional Municipality of Hamilton-Wentworth Act, 1973, S.O. 1973, c. 74","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Regional Municipality of Hamilton-Wentworth Act, R.S.O. 1980, c. 437","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Regional Municipality of Hamilton-Wentworth Act, R.S.O. 1990, c. R.12","Yes",,,"1991, c. 15, s. 34
1992, c. 15, s. 94
1993, c. 20, s. 12, 22
1994, c. 37, s. 9
1996, c. 32, s. 89
1996, c. 9, s. 30, 31
1997, c. 29, s. 67
1997, c. 31, s. 173
1997, c. 5, s. 72
1998, c. 15, Sch. E, s. 36","","01/01/2001","1999, c. 14, s. 3 (2)"
"Regional Municipality of Hamilton-Wentworth Amendment Act, 1985, S.O. 1985, c. 10","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Regional Municipality of Niagara Act, R.S.O. 1970, c. 406","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Regional Municipality of Niagara Act, R.S.O. 1980, c. 438","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Regional Municipality of Niagara Act, R.S.O. 1990, c. R.13","Yes",,,"1992, c. 15, s. 94
1993, c. 20, s. 13
1996, c. 32, s. 90
1997, c. 5, s. 73
1998, c. 15, Sch. E, s. 37
2001, c. 13, s. 26","","01/01/2003","2001, c. 25, s. 484"
"Regional Municipality of Niagara Amendment Act, 1971, S.O. 1971, c. 77","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Regional Municipality of Niagara Amendment Act, 1972, S.O. 1972, c. 51","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Regional Municipality of Ottawa-Carleton Act, R.S.O. 1970, c. 407","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Regional Municipality of Ottawa-Carleton Act, R.S.O. 1980, c. 439","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Regional Municipality of Ottawa-Carleton Act, R.S.O. 1990, c. R.14","Yes",,,"1991, c. 3, s. 1
1992, c. 12
1992, c. 15, s. 94
1993, c. 20, s. 14, 22
1994, c. 1, s. 1-9
1996, c. 32, s. 91
1997, c. 29, s. 68
1997, c. 31, s. 174
1997, c. 5, s. 74
1998, c. 15, Sch. E, s. 38
1999, c. 6, s. 58","","01/01/2001","1999, c. 14, s. 5 (2)"
"Regional Municipality of Ottawa-Carleton Amendment Act, 1973 (No. 2), S.O. 1973, c. 138","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Regional Municipality of Ottawa-Carleton and French-Language School Boards Statute Law Amendment Act, 1994, S.O. 1994, c. 1","No",,,,"","",""
"Regional Municipality of Ottawa-Carleton Land Acquisition Act, 1980 , S.O. 1980, c. 44","No",,,,"See R.S.O. 1990, Schedule C","01/01/2003","2002, c. 17, s. 7"
"Regional Municipality of Peel Act, 1973, S.O. 1973, c. 60","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Regional Municipality of Peel Act, 2005, S.O. 2005, c. 20 ","Yes","Minister of Municipal Affairs and Housing","1157/2018 (10/11/2018)","2017, c. 10, Sch. 4, s. 14","","",""
"Regional Municipality of Peel Act, R.S.O. 1980, c. 440","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Regional Municipality of Peel Act, R.S.O. 1990, c. R.15","Yes",,,"1992, c. 15, s. 94
1993, c. 20, s. 15, 22
1996, c. 32, s. 92
1997, c. 31, s. 175
1997, c. 5, s. 75
1998, c. 15, Sch. E, s. 39
2001, c. 13, s. 27","","01/01/2003","2001, c. 25, s. 484"
"Regional Municipality of Sudbury Act, 1972, S.O. 1972, c. 104","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Regional Municipality of Sudbury Act, R.S.O. 1980, c. 441","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Regional Municipality of Sudbury Act, R.S.O. 1990, c. R.16","Yes",,,"1992, c. 15, s. 94
1993, c. 20, s. 16, 22
1993, c. 27, Sch.
1994, c. 37, s. 10
1996, c. 1, Sch. M, s. 37
1996, c. 32, s. 93
1997, c. 14, s. 2
1997, c. 25, Sch. E, s. 11
1998, c. 15, Sch. E, s. 40","","01/01/2001","1999, c. 14, s. 1 (2)"
"Regional Municipality of Sudbury Amendment Act, 1984, S.O. 1984, c. 47","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Regional Municipality of Waterloo Act, 1972, S.O. 1972, c. 105","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Regional Municipality of Waterloo Act, R.S.O. 1980, c. 442","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
